pid,n_observations,n_epoch0,n_epoch1,span_days,categories_used,floor_rate,ceiling_rate,sensor_mean,sensor_sd,data_status
p00,700,350,350,139.8,5,0.44,0.045714285714285714,54.347715414526434,26.934744350064243,SYNTHETIC
p01,700,350,350,139.8,5,0.42428571428571427,0.037142857142857144,58.85682831421189,24.416763131212406,SYNTHETIC
p02,700,350,350,139.8,5,0.3657142857142857,0.07571428571428572,57.97803638307174,23.09137089938979,SYNTHETIC
p03,700,350,350,139.8,5,0.4085714285714286,0.09285714285714286,54.29961656671407,28.848646866721026,SYNTHETIC
p04,700,350,350,139.8,5,0.4957142857142857,0.03142857142857143,53.03516144568173,24.158515232823863,SYNTHETIC
p05,700,350,350,139.8,5,0.4228571428571429,0.04428571428571428,43.201720927160565,21.045849412532174,SYNTHETIC
p06,700,350,350,139.8,5,0.4785714285714286,0.03571428571428571,53.98958780255037,25.715150603522037,SYNTHETIC
p07,700,350,350,139.8,5,0.4585714285714286,0.055714285714285716,51.4256165966393,24.12696410064441,SYNTHETIC
p08,700,350,350,139.8,5,0.4928571428571429,0.03142857142857143,53.76646456898556,27.026977440944357,SYNTHETIC
p09,700,350,350,139.8,5,0.5214285714285715,0.03571428571428571,43.324616810604034,21.281093066881883,SYNTHETIC
p10,700,350,350,139.8,5,0.43142857142857144,0.04857142857142857,68.37505864573795,28.197811745456576,SYNTHETIC
p11,700,350,350,139.8,5,0.5,0.032857142857142856,62.88821993952337,24.044950325310985,SYNTHETIC
p12,700,350,350,139.8,5,0.43857142857142856,0.04857142857142857,55.93141514426857,23.84159374693492,SYNTHETIC
p13,700,350,350,139.8,5,0.4085714285714286,0.06,38.128710048715966,20.413665571817656,SYNTHETIC
p14,700,350,350,139.8,5,0.4328571428571429,0.04857142857142857,68.37455927569873,28.231200715474785,SYNTHETIC
p15,700,350,350,139.8,5,0.4757142857142857,0.03428571428571429,56.13532165444398,25.541252912795823,SYNTHETIC
p16,700,350,350,139.8,5,0.4185714285714286,0.04,53.816293857706995,27.896320607215298,SYNTHETIC
p17,700,350,350,139.8,5,0.5585714285714286,0.03142857142857143,75.44863484729365,23.123909822731097,SYNTHETIC
p18,700,350,350,139.8,5,0.48857142857142855,0.032857142857142856,43.39528418198761,26.057181599685723,SYNTHETIC
p19,700,350,350,139.8,5,0.51,0.032857142857142856,69.70137047969553,23.88116987773453,SYNTHETIC
p20,700,350,350,139.8,5,0.4785714285714286,0.032857142857142856,35.381652176785394,25.453848741498817,SYNTHETIC
p21,700,350,350,139.8,5,0.46,0.041428571428571426,46.43899351387077,24.427162269785136,SYNTHETIC
p22,700,350,350,139.8,5,0.5285714285714286,0.02857142857142857,54.11947448530912,25.039102105541737,SYNTHETIC
p23,700,350,350,139.8,5,0.4714285714285714,0.04285714285714286,43.5634429649803,23.634093229920815,SYNTHETIC
p24,700,350,350,139.8,5,0.48,0.032857142857142856,59.04522973682645,23.675654881334,SYNTHETIC
p25,700,350,350,139.8,5,0.45714285714285713,0.03142857142857143,69.08984453305851,30.402528249954823,SYNTHETIC
p26,700,350,350,139.8,5,0.4928571428571429,0.032857142857142856,56.15386214432916,23.04005379865903,SYNTHETIC
p27,700,350,350,139.8,5,0.4085714285714286,0.06285714285714286,59.97013421619123,22.57848361773598,SYNTHETIC
p28,700,350,350,139.8,5,0.4185714285714286,0.09,39.80187921356341,26.823129599091008,SYNTHETIC
p29,700,350,350,139.8,5,0.5028571428571429,0.027142857142857142,72.27132897403536,27.896002540411647,SYNTHETIC
p30,700,350,350,139.8,5,0.41285714285714287,0.06142857142857143,58.30384519128476,23.6682653358436,SYNTHETIC
p31,700,350,350,139.8,5,0.36428571428571427,0.06857142857142857,50.835230422888145,29.685387639694767,SYNTHETIC
p32,700,350,350,139.8,5,0.4657142857142857,0.037142857142857144,54.74432872673633,28.614849625197376,SYNTHETIC
p33,700,350,350,139.8,5,0.5771428571428572,0.027142857142857142,66.73749476050999,22.253541177742743,SYNTHETIC
p34,700,350,350,139.8,5,0.45571428571428574,0.032857142857142856,53.51901864518577,28.25754356471412,SYNTHETIC
p35,700,350,350,139.8,5,0.43142857142857144,0.03142857142857143,49.083339692801665,24.187552963689523,SYNTHETIC
p36,700,350,350,139.8,5,0.4442857142857143,0.04,51.533635341625526,24.20912778584191,SYNTHETIC
p37,700,350,350,139.8,5,0.5185714285714286,0.037142857142857144,43.32316665186411,26.671503409411898,SYNTHETIC
p38,700,350,350,139.8,5,0.43,0.04285714285714286,63.26261381722891,27.538889665510677,SYNTHETIC
p39,700,350,350,139.8,5,0.47285714285714286,0.037142857142857144,53.95350559321098,20.6991038952296,SYNTHETIC
p40,700,350,350,139.8,5,0.5757142857142857,0.025714285714285714,61.549298515536535,25.246368314561092,SYNTHETIC
p41,700,350,350,139.8,5,0.49142857142857144,0.03428571428571429,68.24324822364312,28.444432000753814,SYNTHETIC
p42,700,350,350,139.8,5,0.40714285714285714,0.07714285714285714,54.76182117560209,24.212389665712692,SYNTHETIC
p43,700,350,350,139.8,5,0.4442857142857143,0.037142857142857144,62.919157332272405,22.603007927686043,SYNTHETIC
p44,700,350,350,139.8,5,0.4642857142857143,0.032857142857142856,61.675212137427465,27.596837182342924,SYNTHETIC
p45,700,350,350,139.8,5,0.4442857142857143,0.045714285714285714,55.4224519113463,22.47482851570048,SYNTHETIC
p46,700,350,350,139.8,5,0.4657142857142857,0.027142857142857142,52.316331850366176,23.322405124799104,SYNTHETIC
p47,700,350,350,139.8,5,0.4928571428571429,0.03142857142857143,54.06186910241826,24.728654581338052,SYNTHETIC
