pid,eligible,n_epoch0,n_epoch1,categories_epoch0,categories_epoch1,var_ratio,floor_epoch0,floor_epoch1,ar1_epoch0,exclusion_reasons,data_status
p00,True,350,350,5,5,0.9572236259851926,0.4514285714285714,0.42857142857142855,0.20889864871007718,,SYNTHETIC
p01,True,350,350,5,5,1.0588332783704753,0.4514285714285714,0.39714285714285713,0.3040664101340792,,SYNTHETIC
p02,True,350,350,5,5,1.0214365732737543,0.4514285714285714,0.28,0.2755144160879568,,SYNTHETIC
p03,True,350,350,5,5,0.9829102686490591,0.4514285714285714,0.3657142857142857,0.19662411799444027,,SYNTHETIC
p04,True,350,350,5,5,0.8546305356928929,0.4514285714285714,0.54,0.2987954516891886,,SYNTHETIC
p05,True,350,350,5,5,0.8890430437908368,0.4514285714285714,0.3942857142857143,0.275033762387264,,SYNTHETIC
p06,True,350,350,5,5,1.003300180763111,0.4514285714285714,0.5057142857142857,0.341332224973886,,SYNTHETIC
p07,True,350,350,5,5,1.0666500614012346,0.4514285714285714,0.4657142857142857,0.22149523484272765,,SYNTHETIC
p08,True,350,350,5,5,1.057188391398292,0.4514285714285714,0.5342857142857143,0.18069053592775666,,SYNTHETIC
p09,True,350,350,5,5,1.0385669288757702,0.4514285714285714,0.5914285714285714,0.23395344639408172,,SYNTHETIC
p10,True,350,350,5,5,1.291762676045193,0.4514285714285714,0.4114285714285714,0.17565793040690264,,SYNTHETIC
p11,True,350,350,5,5,0.9274343095665231,0.4514285714285714,0.5485714285714286,0.250548665103474,,SYNTHETIC
p12,True,350,350,5,5,0.9697718051286277,0.4514285714285714,0.4257142857142857,0.29505359030418216,,SYNTHETIC
p13,True,350,350,5,5,1.0478655740362788,0.4514285714285714,0.3657142857142857,0.2740775697666043,,SYNTHETIC
p14,True,350,350,5,5,1.052759302410557,0.4514285714285714,0.4142857142857143,0.17408018900943306,,SYNTHETIC
p15,True,350,350,5,5,0.9572253522474455,0.4514285714285714,0.5,0.2610729693726133,,SYNTHETIC
p16,True,350,350,5,5,1.0427234837157278,0.4514285714285714,0.38571428571428573,0.19425707097061545,,SYNTHETIC
p17,True,350,350,5,5,1.2486031390562835,0.4514285714285714,0.6657142857142857,0.21436480000750355,,SYNTHETIC
p18,True,350,350,5,5,1.165015965356561,0.4514285714285714,0.5257142857142857,0.2331213315309761,,SYNTHETIC
p19,True,350,350,5,5,0.9712399279422407,0.4514285714285714,0.5685714285714286,0.23486596710577348,,SYNTHETIC
p20,True,350,350,5,5,1.2601205761656582,0.4514285714285714,0.5057142857142857,0.10366159624982302,,SYNTHETIC
p21,True,350,350,5,5,0.9067400394174314,0.4514285714285714,0.4685714285714286,0.28448991220876246,,SYNTHETIC
p22,True,350,350,5,5,0.9986798124658581,0.4514285714285714,0.6057142857142858,0.24387009356603473,,SYNTHETIC
p23,True,350,350,5,5,1.1507912912211204,0.4514285714285714,0.49142857142857144,0.2670451410818937,,SYNTHETIC
p24,True,350,350,5,5,0.9494446559183353,0.4514285714285714,0.5085714285714286,0.3904070944006539,,SYNTHETIC
p25,True,350,350,5,5,0.9669654973002014,0.4514285714285714,0.46285714285714286,0.1907150646238861,,SYNTHETIC
p26,True,350,350,5,5,1.19434151783534,0.4514285714285714,0.5342857142857143,0.2769124674470608,,SYNTHETIC
p27,True,350,350,5,5,0.9350561152476609,0.4514285714285714,0.3657142857142857,0.24279422201971212,,SYNTHETIC
p28,True,350,350,5,5,1.295529492386951,0.4514285714285714,0.38571428571428573,0.18044746211072885,,SYNTHETIC
p29,True,350,350,5,5,0.9432029686575286,0.4514285714285714,0.5542857142857143,0.1898899389173611,,SYNTHETIC
p30,True,350,350,5,5,1.1451662267104377,0.4514285714285714,0.3742857142857143,0.28141325586972626,,SYNTHETIC
p31,True,350,350,5,5,1.0021575897285329,0.4514285714285714,0.27714285714285714,0.19805494408976762,,SYNTHETIC
p32,True,350,350,5,5,1.2431481226020746,0.4514285714285714,0.48,0.17682003016551123,,SYNTHETIC
p33,True,350,350,5,5,0.8620846543679607,0.4514285714285714,0.7028571428571428,0.3322699427188022,,SYNTHETIC
p34,True,350,350,5,5,1.0945952398635936,0.4514285714285714,0.46,0.21113819224673416,,SYNTHETIC
p35,True,350,350,5,5,1.0021623617812643,0.4514285714285714,0.4114285714285714,0.21784717267092257,,SYNTHETIC
p36,True,350,350,5,5,1.007516639107313,0.4514285714285714,0.43714285714285717,0.35988574567013326,,SYNTHETIC
p37,True,350,350,5,5,1.1541019990981614,0.4514285714285714,0.5857142857142857,0.22369378385381397,,SYNTHETIC
p38,True,350,350,5,5,0.9640158550114285,0.4514285714285714,0.4085714285714286,0.10496916922351497,,SYNTHETIC
p39,True,350,350,5,5,0.9254892113973471,0.4514285714285714,0.4942857142857143,0.28166042484492665,,SYNTHETIC
